Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
51,NE 33-16-18,R 50.2 to R 50.6,2720.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate to severe subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,NE 33-16-18,R 50.7,2720.1 2720.2,USoils - Erosion and Trench Subsidence Water Quality and Quantity Fish-Bearing Watercourse nnamed Creek (Tributary to Wascana Creek),Appropriate vehicle crossing installed. Dry crossing – open cut. Restored stream channel and 16 m riparian zone on each side after winter construction.  Reseeded and installed silt fences and subsoil diversion berms.,Potential for erosion/sedimentation until vegetation is established. Potential loss and admixing of topsoil.,No erosion issues observed on right-of-way.,Resolved,Remove silt fence.,,W2M,
51 (Cont'd),NW 33-16-18 (Cont'd),R 50.7 (cont'd),2720.1 2720.2 (cont'd),UVegetation - Weeds nnamed Creek (Tributary to Wascana Creek),--,--,"High weed density of false ragweed, perennial sow-thistle, creeping (Canada) thistle, kochia, cleavers and others observed on both banks of creek during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,SE 33-16-18,R 50.7 to R 50.8,2720.2,Vegetation - Weeds,--,--,"High weed density of kochia, scentless chamomile, flixweed, Russian thistle, creeping (Canada) thistle and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,SE 33 to SW 34-16-18,R 50.7 to R 51.0,2720.2 2720.3,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,SW 34-16-18,R 51.0 to R 51.6,2720.3,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,SE 34-16-18,R 51.6 to R 52. 4,2720.4,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,W2M,
51,SE 34-16-18,R 51.6 to R 52. 4,2720.4,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,SE 34-16-18,R 52.4,2720.4,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
52 and 53,SW 35-16-18,R 52.4 to R 52.5,2720.5 2720.6,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate to severe subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
52 and 53,SW 35-16-18,R 52.5 to R 52.9,2720.5 2720.6,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
52 and 53,SW 35-16-18,R 52.9 to R 53.2,2720.5 2720.6,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate to severe subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
52 and 53,SW 35-16-18,R 52. 4 to R 53.2,2720.5 2720.6,Vegetation - Weeds,--,--,"Moderate weed density of scentless chamomile, white cockle, .kochia, perennial sow-thistle and creeping (Canada) thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
52,SE 35-16-18,R 53.2 to R 54,2723.1,Soils - Wind Erosion,--,--,Based on Land Owner complaint through Enbridge. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
52,SE 35-16-18,R 53.2 to R 54,2723.1,Vegetation - Weeds,--,--,"Moderate weed density of scentless chamomile, perennial sow-thistle, kochia, wild buckwheat and others on right-of-way. High weed densities in subsided areas.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
52,SE 35-16-18,R 53.2 to R 53.9,2723.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
52 52 (Cont'd),SE 35-16-18 SE 35-16-18 (Cont'd),R 53.9 R 53.9 (cont'd),2723.1 2723.1 (cont'd),Soils - Trench Subsidence Soils - Trench Subsidence (Cont'd),-- --,Potential loss and admixing of topsoil. Potential loss and admixing of topsoil. (Cont'd),Minor subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved Unresolved (cont'd),"Monitor subsidence in 2011 and repair, if warranted. Monitor subsidence in 2011 and repair, if warranted. (cont'd)",,W2M,
52,SE 36-16-18,R 55.6,2729.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
52,13-27-16-17,R 60.7,2738.1,USoils – Erosion Water Quality and Quantity Fish-Bearing Watercourse nnamed Creek (Tributary to Wascana Creek),Appropriate vehicle crossing installed. Trenchless crossing – track bore with road crossing. Silt fence installed on east side.,Potential for erosion/sedimentation until vegetation is established.,No erosion issues observed on right-of-way.,Resolved,Silt fence installed on east side can be removed.,,W2M,
52,13-27-16-17,R 60.7,2738.1,UVegetation - Weeds nnamed Creek (Tributary to Wascana Creek),--,--,"Moderate weed density of false ragweed, flixweed, hemp nettle, perennial sow-thistle and creeping (Canada) thistle observed on the right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
52,NW 25-16-17,R 64.7,2742.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,Not assessed in 2010.,Unresolved,Monitor in 2011.,,W2M,
52,SE 25-16-17,R 65.5,2744.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Change from Rural Municipality of Edenwold to Rural Municipality of Lajord.,Weed introduction and spread.,"High weed density of false ragweed, lamb's quarters, redroot pigweed, kochia, green foxtail and others on right-of-way",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
52 and 53,8-30-16-16,R 67.1,2746.1,KSoils – Erosion Water Quality and Quantity Fish-Bearing Watercourse ronau Creek (Tributary to Wascana Creek),Appropriate vehicle crossing installed. Geotextile used to separate subsoil ramps of bridge from topsoil. Dry crossing – open cut. Recontoured and reseeded the banks with native grasses.  Installed silt fences. Down. Recontoured drainage and installed a small diversion berm and additional silt fences on the west approach slope summer 2009. Installed straw bale check dams fall 2009.,Potential for erosion/sedimentation until vegetation is established.,"Minor rill erosion formed on the north side of check dams. Cattle impact, silt fences are down and poor vegetation establishment on both banks.",Unresolved,Repair silt fence and remove once vegetation has established. Reseed and monitor grass growth in 2011.,,W2M,
52 and 53,8-30-16-16,R 67.1,2746.1,KVegetation - Weeds ronau Creek (Tributary to Wascana Creek),--,--,High density of nodding thistle observed on banks on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
53,NW 21-16-16,R 69.1 to R 69.7,2750.1,Vegetation - Weeds,--,--,"High weed density of kochia, green foxtail, wild oats, creeping (Canada) thistle, narrow-leaved hawk's-beard and others observed on and off right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
53,N1/2 21-16-16,R 69.1 to R 70.0,2750.1 2751.1,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W2M,
53,NE 21-16-16,R 69.7 to R 70.5,2751.1,Vegetation - Weeds,--,--,"Moderate weed density of scentless chamomile, perennial sow thistle, kochia, dandelion and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
53,16-22-16-16,R 72.0,2753.1,USoils – Erosion Water Quality and Quantity nnamed Creek (Tributary to Manybone Creek),Appropriate vehicle crossing installed. Dry crossing – open cut. Installed silt fence and reseeded.,Potential for erosion/sedimentation until vegetation is established.,Good vegetation establishment although minor cattle impact on right-of-way.,Unresolved,Monitor in 2011.  Remove silt fence once vegetation has established.,,W2M,
53,16-23-16-16 to 13 24-16-16,R 73.6 to R 74.0,2755.1 2756.1,USoils – Erosion Water Quality and Quantity nnamed Creek (Tributary to Manybone Creek),Appropriate vehicle crossing installed. Dry crossing – open cut. Lightly cultivated and seeded the travel lane.,Potential for erosion/sedimentation until vegetation is established.,Minor rutting and areas of poor vegetation establishment on right-of-way due to farming activity.,Unresolved,"Reseed and monitor grass growth in 2011 and repair rutting, if warranted.",,W2M,
53,16-23-16-16 to 13 24-16-16,R 73.6 to R 74.0,2755.1 2756.1,UVegetation - Weeds nnamed Creek (Tributary to Manybone Creek,--,--,"Moderate weed density of scentless chamomile, kochia, perennial sow-thistle and white cockle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
53,NW 24-16-16,R 74.6,2756.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,"High weed density of scentless chamomile, perennial sow-thistle, creeping (Canada) thistle, white cockle and others on and off right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
53,NE 24-16-16,R 75.4,2757.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Change from Rural Municipality of Lajord to Rural Municipality of Francis.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
53,SW-20-16-15,R 77.4,3101,Soils - Erosion,Silt fences installed for erosion control where the construction right-of-way crosses a swale.,Potential for erosion/sedimentation until vegetation is established.,No issues observed on right-of-way.,Resolved,Silt fences can be removed.,,W2M,
53,SW-20-16-15,R 77.1 to R 77.4,3101,Vegetation - Weeds,--,--,"Moderate density creeping (Canada) thistle, field dock, absinthe, perennial sow thistle and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
54,NE 16-16-15,749.2,3106,Soils - Compaction and Rutting,Traffic on the construction right-of-way after final clean-up due to utility work on adjacent line within wetland.,Potential for rutting and compaction.,Moderate compaction and rutting near wetland on right-of-way.,Unresolved,"Monitor crop growth in 2011.  Alleviate compaction and repair rutting in 2011, if warranted.",,W2M,
54,NE 16 /  NW 15-16-15,749.2 to 749.3,3106,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (61%),"Ramp installed. Wetland open cut. During final clean-up, the clay ramp and geotextile were removed and the area was seeded. This area was also the site of a dig-up on an adjacent line and some utility work tied in beside the construction right-of-way west of the road. There was some traffic on the right-of-way after final clean-up. This area will be checked in the spring for any issues related to traffic.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: unhealthy (14%). Weeds: creeping (Canada) thistle, perennial sow thistle. Undesirable species dominant on right-of-way Riparian: woody vegetation removed by landowner to maximize cultivation. Landowner has cultivated wetland edge.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
54,W1/2 15-16-15,749.3 to 750.1,3107 3108,Soils - Compaction and Rutting,Traffic on the construction right-of-way after final clean-up due to utility work on adjacent line within wetland.,Potential for rutting and compaction.,No issues observed on right-of-way.,Resolved,None.,,W2M,
54,S1/2 15-16-15,750.0 to 750.16,3108,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: unhealthy (53%),Ramp installed. Wetland open cut. At the time of final clean-up the clay ramp and geotextile were removed and the area was seeded.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (18%).,Resolved,None.,,W2M,
54,SW 14-16-15,751.1 to 751.2,3110,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (61%),Ramp installed. Wetland open cut. At the time of final clean-up the clay ramp and geotextile were removed and the area was seeded.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (58%). Weeds: creeping (Canada) thistle. Riparian: woody vegetation removed. Shallow open water where emergent vegetation was once dominant.,Unresolved,Monitor in 2011.,,W2M,
54,NE 11-16-15,752.6 to 752.9,3112,Vegetation - Weeds,--,--,"High weed density of false ragweed, flixweed, field dock, chickweed and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
54,NE 11-16-15 to NW 12-16-15,752.6 to 753.1,3112 3114,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issue observed on right-of-way.,Resolved,None.,,W2M,
54,NE 11-16-15 to NW 12-16-15,752.6 to 753.1,3112 3114,Vegetation Establishment,--,--,Heavily grazed and poor vegetation establishment on right-of-way.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
54,SW 12-16-15,753.2 to 753.8,3115,Vegetation - Weeds,--,--,"High weed density of white cockle, creeping (Canada) thistle, flixweed and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
54,SW 12-16-15,753.2 to 753.8,3115,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
54,SE 12-16-15,754.8,3116,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Cleavers observed from KP 753.9 to 754.8 (SE 12-16-15 W2M).,Weed introduction and spread.,"Moderate weed density of white cockle, creeping (Canada) thistle, cleavers and others on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
