Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
NW 19-47-17,0211,86.880,87.280,Tame pasture,86.975 to 86.990,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Repair Work: Repair work is scheduled for 2019.,Subsidence was observed approximately 15 cm deep x 50 cm wide.  Subsidence did not appear to be an immediate hazard. Continue to monitor.,U,Monitor in 2019.,,,
NE 19-47-17,0212,87.280,88.014,Cultivated,87.280 to 88.014,--,Vegetation - weeds,"Weed issue observed on the ROW causing areas of reduced crop growth. Lamb’s-quarters, stinkweed, marsh cudweed and Russian pigweed observed at higher densities on ROW compared to off.",U,"April 20, 2016: land agent met with the landowner. Landowner compensated to control weeds for the 2016 growing season. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor crop growth in 2017.,"Weed issue observed on the ROW. Canada thistle, scentless chamomile, foxtail barley, kochia, lamb’s quarters, and curled dock were observed at higher densities on the ROW compared to off the ROW.",--,U,Control weeds and monitor in 2018.,--,"A portion of off ROW was tame pasture, while ROW was seeded to cereal. Crop parameters on ROW were equal to cultivated portion off ROW. Density and distribution of weed species were equal on and off ROW when comparing cultivated land uses.",R,None.,,,
SE 19-47-17,--,88.014,88.202,--,--,--,--,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Assess in 2017.,,No issues observed.,--,R,None.,--,--,--,--,,,
SW 20-47-17,0214,88.202,89.150,Cultivated,88.202 to 89.150,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor crop growth in 2017.,Density and distribution of weed species were equal on and off ROW.,--,R,None.,--,--,--,--,,,
NE 17-47-17,0216,89.687,90.06,Wetland,89.780,403197 E 5880037 N,Vegetation - weeds,Weed issue observed in wetland area. A patch of scentless chamomile was observed at the edge of the wetlands.,U,"May 11, 2016: land agent spoke to the land occupant via telephone. Occupant committed to controlling weeds in the 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor weed growth in 2017.,"Successional wetland vegetation re-establishing on ROW appropriately, some ponded water presents adjacent to trench crown. Scentless chamomile not observed in wetland.",--,U,Monitor in 2018 for wetland vegetation re-establishment.,--,Linear/open standing water observed on ROW in wetland.  Bare soil observed on adjacent pipeline ROW.,U,Monitor in 2019,,,
NE 17-47-17,0216,89.687,90.06,Cultivated,89.900,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off ROW.,--,R,None.,--,--,--,--,,,
NW 16-47-17,0217,90.060,91.004,Cultivated,90.060 to 91.004,--,Vegetation - weeds,"Weed issue observed in patches of bare soil along entire quarter-section. Wild buckwheat, common groundsel, pineapple weed, prostrate knotweed, shepherd’s purse, lamb’s quarters, stinkweed, and scentless chamomile were observed on the ROW at higher densities than off the ROW.",U,"April 21, 2016: land agent met with the land occupant. Land occupant compensated to control weeds in the 2016 growing season. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,The ROW was cleared due to recent disturbance/repair work; unable to determine density and distribution of weed species.,--,U,Seed and monitor in 2018.,--,Density and distribution of weed species were equal on and off ROW.,R,None.,,,
NW 16-47-17 (cont’d),See above,See above,See above,See above,See above,--,Landscape - contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Contouring issues appears to have been resolved during compaction repair work.,--,R,None.,--,--,--,--,,,
NW 16-47-17 (cont’d),See above,See above,See above,See above,See above,--,Vegetation - establishment,--,--,--,--,"The ROW was cleared due to recent disturbance/repair work, causing an area of bare soil",--,U,Seed and monitor vegetation establishment in 2018.,--,Reduced crop height and density were observed on the ROW. Farming practices and an additional growing season may be required to allow for vegetation recovery. No soil issues were observed.,U,Monitor in 2019.,,,
NE 16-47-17,0218,91.004,91.377,--,--,--,--,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Assess in 2017.,,No issues observed.,--,R,None.,--,--,--,--,,,
SE 16-47-17,0219,91.377,91.610,Cultivated,91.450,404646 E 5879212 N,Vegetation - Weeds,Weed issue observed in patch of bare soil. Scentless chamomile and stinkweed were observed in high densities on the ROW. Weed issue is likely a result of reduced crop establishment due to ponding water.,U,"May 5, 2016: land agent met with the landowner. Landowner compensated to control weeds in the 2016 growing season. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,The ROW was cleared due to recent disturbance/repair work; unable to determine density and distribution of weed species.,--,U,Seed and monitor in 2018.,--,Density and distribution of weed species were equal on and off ROW.,R,None.,,,
SE 16-47-17,0219,91.377,91.610,Cultivated,91.480 to 91.550; 91.610,--,Landscape - Contouring,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Recontour and,monitor in 2017.,Contouring issues appears to have been resolved during recent disturbance/repair work.,--,R,None.,--,--,--,--,,,
SE 16-47-17,0219,91.377,91.610,Cultivated,91.377 to 91.610,--,Vegetation - Establishment,--,--,--,--,"The ROW was cleared due to recent disturbance/repair work, causing an area of bare soil",--,U,Seed and monitor vegetation establishment in 2018.,--,Growth stage was too early and therefore unable to determine crop establishment success.,U,Monitor in 2019.,,,
SE 16-47-17 (cont’d),See above,91.610,91.926,Tame pasture/ Hay,91.610 to 91.926,--,Vegetation - weeds,"Weed issue observed in patches of bare soil along entire quarter-section. Scentless chamomile, Canada thistle, shepherd’s purse, and lamb’s quarters beard were observed on the ROW. Weed densities increase at KP 91.82.",U,"September 2, 2016: land agent met with the landowner. Landowner compensated to control weeds in the 2016 growing season. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,The ROW was cleared due to recent disturbance/repair work; unable to determine density and distribution of weed species.,--,U,Seed and monitor in 2018.,"Enbridge and landowner reported poor vegetation establishment and weeds outcompeting hay. Repair Work: June 19, 2018, scentless chamomile was handpicked. Broadleaf weeds were sprayed on ROW.","High density and distribution of lamb’s quarters, common knotweed, and narrow-leaved hawk’s beard were observed on ROW. Weeds have been sprayed and were observed to be dying off.",U,Monitor in 2019.,,,
SE 16-47-17 (cont’d),See above,91.610,91.926,Tame pasture/ Hay,91.610 to 91.820,--,Landscape - contouring,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Recontour and,monitor in 2017.,Contouring issues appears to have been resolved during recent disturbance/repair work.,--,R,None.,--,--,--,--,,,
SE 16-47-17 (cont’d),See above,91.610,91.926,Tame pasture/ Hay,91.610 to 91.926,--,Vegetation - establishment,--,--,--,--,"The ROW was cleared due to recent disturbance/repair work, causing an area of bare soil",--,U,Seed and monitor vegetation establishment in 2018.,"Enbridge and landowner reported poor vegetation establishment and weeds outcompeting hay. Repair Work: July 25, 2018 – ROW was scarified and harrowed. ROW was seeded (60% chief intermediate wheatgrass, 20% MBA meadow brome grass, and 20% coated westar alfalfa).",Reduced vegetation establishment was observed on ROW. Spraying of weeds have impacted of alfalfa.,U,Monitor in 2019.,,,
SW 15-47-17,0220,91.926,92.240,Cultivated,91.926 to 92.240,--,Soil –  soil mixing,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 15-47-17,0220,91.926,92.240,Cultivated,91.970 to 91.988,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Landowner and Enbridge reported subsidence at west boundary 10-15 cm deep x 60-90 cm wide. Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,"Subsidence was observed, approximately 10 cm deep x 60-90 cm wide at approximately KP 91.970 to KP 91.988",U,Monitor in 2019. Repair subsidence when feasible.,,,
SW 15-47-17 (cont’d),See above,See above,See above,See above,92.020 to 92.060,--,Landscape - contouring*,"Low areas observed along the ROW that appeared to have ponded water, resulting in bare soils and reduced crop establishment.",U,"November 18, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,"One low area observed over the trench, resulting in bare soils and reduced crop establishment at  KP 92.02 to KP 92.06. Many of the low areas observed in 2016 resolved themselves. As farming practices may alleviate the issue, this likely needs another year to return to pre-construction conditions.  There were also numerous low, bare areas observed off the ROW.",--,U,Monitor in 2018.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Contouring issue appears to be improving. Crop growth still appears to be hindered.,U,Monitor in 2019. Recontour when feasible.,,,
SW 15-47-17 (cont’d),See above,92.240,92.460,Wetland,92.240 and 92.460,--,Vegetation - establishment,Bare ground/slow wetland vegetation establishment at wetland margins.,U,"November 18, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,"Successional wetland vegetation is re-establishing on the ROW appropriately, although, there is still minor bare ground.",--,U,Monitor in 2018.,--,Vegetation re-establishing on the ROW appropriately.  Trace amounts of weeds observed on the margins.,R,None.,,,
SW 15-47-17 (cont’d),See above,92.460,92.870,Tame pasture,92.460 to 92.860,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 15-47-17,0221,92.870,93.089,Cultivated,92.870 to 93.089,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 15-47-17,0221,92.870,93.089,Cultivated,92.870 to 93.089,--,Landscape - contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,"A low area was observed on the ROW; however, it appeared to fit the natural contour and is located in close proximity to an adjacent wetland. Landscape parameters were equal on and off the ROW.",--,R,None.,--,--,--,--,,,
SE 15-47-17 (cont’d),See above,See above,See above,Wetland,--,--,Industrial Refuse,--,--,--,--,--,--,--,--,Landowner requested removal of straw logs along wetland boundary.,Access was not granted at time of assessment.,U,"Prior to removal of erosion and sediment control products, monitor soil stability and vegetation establishment around wetland in 2019.",,,
NE 10-47-17,222,93.089,93.790,Wetland,--,--,Landscape - contouring,--,--,--,--,"Some ponded water noted along trench crown, although, wetland vegetation is re-establishing.",--,U,Continue monitoring in 2018.,,Access was not granted at time of assessment.,U,Monitor in 2019.,,,
NW 11-47-17,0223 0224.1,93.790,94.740,Hay,93.810,406695 E 5878041 N,Landscape - contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Landscape parameters were equal on and off the ROW. Low areas with bare soils and reduced vegetation establishment appear to be resolved.,--,R,None.,--,--,--,--,,,
NW 11-47-17,0223 0224.1,93.790,94.740,Hay,93.810 to 94.120; 94.730,--,Soil - compaction,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW. Vegetation has established well.,--,R,None.,--,--,--,--,,,
