Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
62,NE 12-13-4,866.65 to 867.55,3299,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way.,"Low to moderate densities of Canada thistle, dandelion, perennial sow-thistle and stinkweed observed on construction right-of-way during ground reconnaissance. Low densities of Canada thistle, dandelion, perennial sow-thistle and stinkweed observed in preconstruction weed survey.",--,Resolved,None.,,W2M,
62,SW 7-13-3,867.55 to 868.4,3300  3301,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way.,"Low to moderate densities of flixweed, stinkweed, foxtail barley, lamb’s-quarters, red-root pigweed, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,W2M,
62,S 1/2 8-13-3,869.2 to 870.7,3303  3304,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate weed density of lamb's-quarters, foxtail barley, spear-leaved goosefoot and Canada thistle observed on construction right-of-way during ground reconnaissance.","No weed issues observed May 31, 2012, appears resolved.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
62,NW 4-13-3,871.48 to 871.8,3306,Vegetation – Establishment Water Quality and Quantity Fish and Fish Habitat Montgomery Creek,Final clean-up not complete at time of 2010 ground reconnaissance.,Moderate vegetation establishment on west approach slope observed on construction right-of-way during ground reconnaissance.,Spring 2012: Poor vegetation establishment observed. Summer 2012: Vegetation at west bank of Montgomery Creek comparable to off right-of-way conditions.,Poor vegetation establishment observed on construction right-of-way within creek bed and east of creek (KP 871.48 to KP 871.80) during ground reconnaissance.,Disced and reseeded July 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,W2M,
62,NW 4-13-3,871.4,3306,Vegetation – Rare Plants field grape fern (S1),Final clean-up not complete at time of 2010 ground reconnaissance.,No plants observed at receiving sites. Both receiving sites for transplanted populations overgrown and no open areas (preferred habitat) except weedy bare patches.,--,No plants observed at receiving sites. Receiving sites for the transplanted populations overgrown with awnless brome and alfalfa making it less likely for field grape fern to establish.  Awnless brome was not seeded along the right-of-way at this location but is observed to be spreading into the adjacent native prairie. No further monitoring of this location recommended.,--,Resolved,None.,,W2M,
62,NE 4-13-3,871.8 to 872.7,3307,Vegetation – Crop growth,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Landowner has seeded field, no issues observed. May 31, 2012.",Reduced crop height (10-30 cm) and density observed on construction right-of-way during ground reconnaissance. Possibly related to compaction issues.,--,Unresolved,Monitor in 2013.,,W2M,
62,NE 4-13-3,871.8 to 872.7,3307,Soils - Compaction,--,--,Environmental Inspector confirmed compaction and reduced crop heights of canola were observed. Admixing also apparent. Increase of gravel and rock at KP 871.81.,Moderate compaction observed on construction right-of-way during ground reconnaissance. Possibly causing reduced crop height and density.,--,Unresolved,Reassess soil parameters and monitor crop growth in 2013.,,W2M,
62,NW 3-13-3 to SW 2-13-3,872.7 to 875.2,3308 3312.02,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.","No weed issues observed, and poor vegetation establishment evident. Landowner has seeded field.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
62,SE 3-13-3,874.30 to 874.80,3311.01 3311.02,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: No baseline assessment completed.,Final clean-up not complete at time of 2010 ground reconnaissance.,Health: Unhealthy (58%). Bare ground on construction right-of-way due to cattle disturbance. No baseline data to compare health status.,--,Health: Healthy with Problems (79%). Wetland is determined to be resolved based on comparison with wetland portion located off right-of-way,--,Resolved,None.,,W2M,
62,S 1/2 2-13-3,875.2 to 875.9,3312  3313  3314,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, foxtail barley and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",Foxtail barley observed on right-of-way.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed fall 2011.,Resolved,None.,,W2M,
62,NW 31-12-2,877.9,3318,Vegetation - Establishment,--,--,Poor vegetation establishment on east side of road.,Vegetation composition and density equal to off construction right-of-way. Poor vegetation establishment along road appears to be due to heavy cattle traffic.,--,Resolved,None.,,W2M,
62,NW 31-12-2,877.9,3318,Vegetation – Weeds,--,Canada thistle observed on construction right—of-way during rare plant monitoring.,Canada thistle observed on construction right—of-way during rare plant monitoring.,Canada thistle observed on construction right—of-way during rare plant monitoring.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
62,NW 31-12-2,878.2,3318,Vegetation – Rare Plants  common beggarticks (S2S3),Final clean-up not complete at time of 2010 ground reconnaissance.,"Four plants on east side of watering hole were observed during the early season survey. 100+ plants observed along edge of watering hole in a 30 m by 30 m area during the late season survey. Canada thistle a threat to population. Spot control for Canada thistle recommended, if warranted.",--,--,--,Resolved,None.,,W2M,
62,NE 31-12-2,879.4,3319,Vegetation – Rare Plants bracted bog orchid (S3S4),Final clean-up not complete at time of 2010 ground reconnaissance.,"No plants located at receiving sites. Both receiving sites underwater. Site overgrown with awnless brome, Kentucky bluegrass and Canada thistle.","No weed issues observed May 30, 2012, appears resolved.",No plants observed at receiving sites. Abundance of awnless brome at receiving sites making it less likely for bracted bog orchid to establish. Awnless brome was not seeded along the right-of-way at this location. No further monitoring recommended. Noxious weed Canada thistle observed at moderate to high density at this location.,--,Resolved,None.,,W2M,
62,NE 31-12-2,879.4,3319,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of foxtail barley, Canada thistle and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
62,SW 32-12-2,879.56 to 879.62,3322,Wetland Class Overall: IV Wetland Class on construction right-of-way: IV 2008 Health: No baseline assessment completed.,Final clean-up not complete at time of 2010 ground reconnaissance.,"Health: Healthy with Problems (73%). Weeds: Canada thistle, annual sow-thistle. Landowner has cultivated to wetland edges. No baseline data to compare health status.",Landowner has seeded fringes of wetland - appears resolved,Health: Healthy with Problems (71%). Wetland is determined to be resolved based on comparison with wetland portion located off right-of-way,--,Resolved,None.,,W2M,
63,SE 32-12-2,880.4,3323,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,Moderate density of false ragweed and foxtail barley observed on construction right-of-way during ground reconnaissance.,"No weed issues observed May 30, 0212, appears resolved.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
63,SE 32-12-2,880.2 to 881.0,3323,Vegetation - Establishment,--,--,Several areas of poor vegetation establishment observed.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
63,SW 33-12-2,881.1 to 881.2,3324,Vegetation - Weeds,--,Moderate density of common burdock and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
63,SW 33-12-2,881.5 to 882.1,3324,Vegetation – Establishment,--,--,Patchy growth observed.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
63,SW 33-12-2,881.5 to 882.1,3324,Soils – Erosion,--,--,Rill erosion evident.,No erosion observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
63,SW 33-12-2,882.0,3324,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,Moderate density of false ragweed and foxtail barley observed on construction right-of-way during ground reconnaissance.,"No weed issues observed May 30, 2012, appears resolved.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
63,SE 27-12-2,884.4 to 884.6,3329.01 3329.02,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,Unable to assess due to wet conditions at time of survey.,--,Unable to assess due to wet conditions at time of survey. Wet conditions existed during preconstruction surveys.,--,Resolved,None.,,W2M,
63,SE 27-12-2,884.4 to 884.6,3329.01 3329.02,Soils – Erosion,Final clean-up not complete at time of 2010 ground reconnaissance.,Unable to assess due to wet conditions at time of survey.,--,Unable to assess due to wet conditions at time of survey. Wet conditions existed during preconstruction surveys.,--,Resolved,None.,,W2M,
63,SE 27-12-2,884.62 to 884.72,3329 3329.01 3329.02,Wetland Class Overall: V Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (60%),Final clean-up not complete at time of 2010 ground reconnaissance.,Health: No health assessment completed due to flooded status of wetland during 2011.,--,Health: Healthy (92%). Wetland was flooded during 2012 field visit. Wetland determined to be resolved based on comparison with wetland portion located off right-of-way.,--,Resolved,None.,,W2M,
63,SW 26-12-2,884.7 to 885.5,3330,Vegetation – Weeds,--,--,KP 884.6 to KP 884.8 - Underwater – could not assess. KP 884.8 to KP 888.5 – no issues.,Unable to assess due to wet conditions at time of survey. Reassess in 2013.,--,Unresolved,Monitor in 2013.,,W2M,
63,NW 24-12-2,886.75 to 887.2,3333,Vegetation - Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,Moderate density of lamb's-quarters and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way.,Moderate densities of perennial sow-thistle and curled dock observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
